building_id,primary_activity,floor_area_sqft,base_hvac_capacity,address
1,Fine Dining Restaurant,37832.28,56.75,"3290 Taft Ave, Biliran"
2,Movie Theater,33690.09,50.54,"3915 Jones Ave, Laguna"
3,Residential Apartment Building,44924.57,67.39,"9295 Burgos St, Dumaguete"
4,General Hospital,26249.67,39.37,"6056 Claro M. Recto Ave, Roxas City"
5,Coffee Shop,10381.74,15.57,"8991 Ayala Ave, Tarlac"
6,Fine Dining Restaurant,37096.02,55.64,"9869 Session Road, Tarlac"
7,Indoor Sports Center,39235.33,58.85,"783 Burgos St, Western Samar"
8,General Hospital,30257.47,45.39,"6434 Session Road, North Cotabato"
9,General Hospital,39693.52,59.54,"7184 Quezon Blvd, Baguio"
10,Strip Mall,27220.8,40.83,"2733 San Pedro St, Cagayan de Oro"
11,Coffee Shop,28522.98,42.78,"7841 Session Road, Pangasinan"
12,Stand-Alone Retail Store,24239.35,36.36,"6248 Magallanes St, Capiz"
13,Co-working Space,6143.86,9.22,"9491 Luna St, Leyte"
14,Outpatient Clinic,9855.11,14.78,"5139 Colon St, Cagayan"
15,Fast Food Restaurant,6414.31,9.62,"9182 Burgos St, Bukidnon"
16,Co-working Space,33638.47,50.46,"6509 Rizal Ave, Agusan del Sur"
17,Corporate Office,19146.02,28.72,"236 Colon St, Siquijor"
18,Outpatient Clinic,27885.68,41.83,"3283 Osmena Blvd, Guimaras"
19,Outpatient Clinic,45840.49,68.76,"3294 Jones Ave, North Cotabato"
20,Boutique Hotel,16218.15,24.33,"419 Burgos St, Bataan"
21,University Building,23467.23,35.2,"141 Osmena Blvd, Capiz"
22,Townhouse Complex,38999.8,58.5,"3934 Bonifacio St, Cebu City"
23,Residential Apartment Building,15295.92,22.94,"8052 Luna St, Zamboanga del Sur"
24,Residential Apartment Building,8464.1,12.7,"9240 Quezon Blvd, Tarlac"
25,Indoor Sports Center,18038.82,27.06,"3198 Luna St, Surigao del Sur"
26,Outpatient Clinic,12254.96,18.38,"9022 Magsaysay Ave, Zambales"
27,Movie Theater,46836.39,70.25,"6597 Roxas Blvd, Zambales"
28,Stand-Alone Retail Store,41365.42,62.05,"9030 Quezon Blvd, Sarangani"
29,Supermarket,33503.17,50.25,"3204 Del Pilar St, Baguio"
30,Indoor Sports Center,44215.73,66.32,"6032 Roxas Blvd, Batangas"
31,Fine Dining Restaurant,41165.24,61.75,"2867 Espana Blvd, Lanao del Sur"
32,Primary School,13395.65,20.09,"5581 Luna St, Tacloban"
33,Fine Dining Restaurant,45165.15,67.75,"1653 Session Road, Laguna"
34,Non-Refrigerated Warehouse,29270.4,43.91,"6260 Osmena Blvd, Guimaras"
35,Strip Mall,41334.81,62.0,"3351 Osmena Blvd, Bacolod"
36,Nursing Home,45324.11,67.99,"3981 Luna St, Pangasinan"
37,Non-Refrigerated Warehouse,19310.16,28.97,"6136 Jones Ave, Cagayan"
38,Primary School,9952.34,14.93,"7025 Taft Ave, Maguindanao"
39,Co-working Space,15257.08,22.89,"8825 Jones Ave, Iloilo City"
40,Movie Theater,24219.85,36.33,"9710 Espana Blvd, Guimaras"
41,Residential Apartment Building,41810.66,62.72,"8382 Burgos St, Bataan"
42,Fine Dining Restaurant,43732.88,65.6,"4457 Espana Blvd, Dumaguete"
43,Outpatient Clinic,5312.85,7.97,"9789 Taft Ave, Southern Leyte"
44,Coffee Shop,27983.63,41.98,"409 San Pedro St, Lanao del Norte"
45,Residential Apartment Building,23783.5,35.68,"8686 Jones Ave, South Cotabato"
46,Stand-Alone Retail Store,14994.85,22.49,"910 Bonifacio St, Davao Oriental"
47,Nursing Home,10393.94,15.59,"648 Luna St, Dumaguete"
48,Boutique Hotel,20192.68,30.29,"9790 Taft Ave, Quezon City"
49,Strip Mall,47430.94,71.15,"4762 Del Pilar St, Agusan del Sur"
50,Non-Refrigerated Warehouse,19544.13,29.32,"4413 Burgos St, Cagayan de Oro"
51,Coffee Shop,28345.58,42.52,"5583 San Pedro St, Laoag"
52,Strip Mall,36635.85,54.95,"4764 Claro M. Recto Ave, Eastern Samar"
53,Co-working Space,21363.33,32.04,"9772 Osmena Blvd, Manila"
54,Fast Food Restaurant,48730.19,73.1,"8661 Jones Ave, Leyte"
55,University Building,48310.13,72.47,"7670 Rizal Ave, Cavite"
56,Strip Mall,16330.2,24.5,"9970 McArthur Highway, Davao Oriental"
57,Non-Refrigerated Warehouse,27376.18,41.06,"4415 Luna St, Tarlac"
58,Outpatient Clinic,18539.52,27.81,"3100 Espana Blvd, Zamboanga del Sur"
59,Co-working Space,17817.82,26.73,"4071 Ayala Ave, Laoag"
60,University Building,6659.91,9.99,"5635 Ayala Ave, Misamis Oriental"
61,Strip Mall,32430.4,48.65,"4278 Osmena Blvd, Bataan"
62,Nursing Home,27620.56,41.43,"766 Quezon Blvd, Iloilo City"
63,Townhouse Complex,7316.54,10.97,"2173 Taft Ave, Bacolod"
64,Residential Apartment Building,17539.09,26.31,"7594 Session Road, North Cotabato"
65,Coffee Shop,45871.96,68.81,"3632 Rizal Ave, Makati"
66,Nursing Home,15780.29,23.67,"868 Lacson St, Tacloban"
67,Coffee Shop,11520.27,17.28,"6474 Rizal Ave, Southern Leyte"
68,Townhouse Complex,27025.37,40.54,"191 Claro M. Recto Ave, Zamboanga del Sur"
69,Dental Clinic,49354.27,74.03,"84 Roxas Blvd, Makati"
70,Non-Refrigerated Warehouse,15892.49,23.84,"4808 Luna St, Misamis Oriental"
71,Residential Apartment Building,35246.1,52.87,"444 Claro M. Recto Ave, Pangasinan"
72,Dental Clinic,39272.88,58.91,"9453 Colon St, Guimaras"
73,Primary School,15693.69,23.54,"6375 McArthur Highway, Baguio"
74,Residential Apartment Building,37769.74,56.65,"7978 Quezon Blvd, Western Samar"
75,Dental Clinic,21550.24,32.33,"9971 Luna St, Batangas"
76,Corporate Office,33453.76,50.18,"5058 Magsaysay Ave, Bataan"
77,Fine Dining Restaurant,33508.84,50.26,"2944 Taft Ave, Zamboanga del Norte"
78,Primary School,29109.86,43.66,"2166 Espana Blvd, Zamboanga del Norte"
79,Corporate Office,9063.04,13.59,"3320 Quezon Blvd, Bataan"
80,Outpatient Clinic,42588.61,63.88,"7930 Del Pilar St, Zamboanga del Sur"
81,Coffee Shop,19435.1,29.15,"7412 Espana Blvd, Lanao del Norte"
82,General Hospital,13393.33,20.09,"1496 Ayala Ave, South Cotabato"
83,Indoor Sports Center,6834.88,10.25,"7759 Colon St, Roxas City"
84,Boutique Hotel,31590.18,47.39,"9423 Ayala Ave, Siquijor"
85,Coffee Shop,35490.4,53.24,"6393 Luna St, Iloilo City"
86,Stand-Alone Retail Store,5746.45,8.62,"541 Rizal Ave, Iloilo City"
87,Stand-Alone Retail Store,28044.19,42.07,"7044 Magallanes St, Rizal"
88,Corporate Office,15192.31,22.79,"4315 McArthur Highway, Lanao del Norte"
89,Supermarket,34032.78,51.05,"1356 Luna St, South Cotabato"
90,University Building,12846.49,19.27,"2045 Colon St, Pampanga"
91,Fine Dining Restaurant,36092.2,54.14,"4286 Session Road, Roxas City"
92,Primary School,22403.09,33.6,"6436 Lacson St, Maguindanao"
93,Fine Dining Restaurant,47152.85,70.73,"5714 Magallanes St, Cebu City"
94,Primary School,11188.44,16.78,"1282 McArthur Highway, Sultan Kudarat"
95,Coffee Shop,20347.99,30.52,"8708 Session Road, Dumaguete"
96,Outpatient Clinic,10106.31,15.16,"6308 Quezon Blvd, Tacloban"
97,Co-working Space,46611.21,69.92,"4040 Jones Ave, Agusan del Sur"
98,Corporate Office,44480.27,66.72,"8056 Ayala Ave, Zamboanga del Norte"
99,Townhouse Complex,16607.37,24.91,"9198 Ayala Ave, Zamboanga del Norte"
100,Supermarket,34699.28,52.05,"7856 Del Pilar St, Sarangani"
