reading_id,meter_id,timestamp,ambient_temp_c,energy_consumed
1,1,2026-06-01 00:00:00,25.67,57.61
2,1,2026-06-01 01:00:00,25.17,57.62
3,1,2026-06-01 02:00:00,25.0,58.93
4,1,2026-06-01 03:00:00,25.17,58.34
5,1,2026-06-01 04:00:00,25.67,58.55
6,1,2026-06-01 05:00:00,26.46,61.2
7,1,2026-06-01 06:00:00,27.5,62.1
8,1,2026-06-01 07:00:00,28.71,63.42
9,1,2026-06-01 08:00:00,30.0,66.23
10,1,2026-06-01 09:00:00,31.29,82.96
11,1,2026-06-01 10:00:00,32.5,82.43
12,1,2026-06-01 11:00:00,33.54,83.21
13,1,2026-06-01 12:00:00,34.33,87.29
14,1,2026-06-01 13:00:00,34.83,88.76
15,1,2026-06-01 14:00:00,35.0,88.7
16,1,2026-06-01 15:00:00,34.83,86.27
17,1,2026-06-01 16:00:00,34.33,86.47
18,1,2026-06-01 17:00:00,33.54,85.72
19,1,2026-06-01 18:00:00,32.5,82.54
20,1,2026-06-01 19:00:00,31.29,81.7
21,1,2026-06-01 20:00:00,30.0,77.22
22,1,2026-06-01 21:00:00,28.71,74.95
23,1,2026-06-01 22:00:00,27.5,61.45
24,1,2026-06-01 23:00:00,26.46,59.93
25,1,2026-06-02 00:00:00,25.67,59.33
26,1,2026-06-02 01:00:00,25.17,57.36
27,1,2026-06-02 02:00:00,25.0,58.15
28,1,2026-06-02 03:00:00,25.17,58.87
29,1,2026-06-02 04:00:00,25.67,58.08
30,1,2026-06-02 05:00:00,26.46,60.71
31,1,2026-06-02 06:00:00,27.5,61.62
32,1,2026-06-02 07:00:00,28.71,64.3
33,1,2026-06-02 08:00:00,30.0,66.87
34,1,2026-06-02 09:00:00,31.29,83.03
35,1,2026-06-02 10:00:00,32.5,82.42
36,1,2026-06-02 11:00:00,33.54,85.3
37,1,2026-06-02 12:00:00,34.33,87.48
38,1,2026-06-02 13:00:00,34.83,87.51
39,1,2026-06-02 14:00:00,35.0,91.05
40,1,2026-06-02 15:00:00,34.83,88.96
41,1,2026-06-02 16:00:00,34.33,84.32
42,1,2026-06-02 17:00:00,33.54,84.03
43,1,2026-06-02 18:00:00,32.5,82.82
44,1,2026-06-02 19:00:00,31.29,81.63
45,1,2026-06-02 20:00:00,30.0,76.71
46,1,2026-06-02 21:00:00,28.71,76.55
47,1,2026-06-02 22:00:00,27.5,61.76
48,1,2026-06-02 23:00:00,26.46,59.53
49,1,2026-06-03 00:00:00,25.67,59.48
50,1,2026-06-03 01:00:00,25.17,57.46
51,1,2026-06-03 02:00:00,25.0,57.82
52,1,2026-06-03 03:00:00,25.17,57.99
53,1,2026-06-03 04:00:00,25.67,58.82
54,1,2026-06-03 05:00:00,26.46,59.99
55,1,2026-06-03 06:00:00,27.5,61.62
56,1,2026-06-03 07:00:00,28.71,64.95
57,1,2026-06-03 08:00:00,30.0,66.2
58,1,2026-06-03 09:00:00,31.29,81.83
59,1,2026-06-03 10:00:00,32.5,85.81
60,1,2026-06-03 11:00:00,33.54,86.0
61,1,2026-06-03 12:00:00,34.33,85.32
62,1,2026-06-03 13:00:00,34.83,87.28
63,1,2026-06-03 14:00:00,35.0,87.49
64,1,2026-06-03 15:00:00,34.83,88.66
65,1,2026-06-03 16:00:00,34.33,87.48
66,1,2026-06-03 17:00:00,33.54,83.94
67,1,2026-06-03 18:00:00,32.5,83.56
68,1,2026-06-03 19:00:00,31.29,82.3
69,1,2026-06-03 20:00:00,30.0,77.31
70,1,2026-06-03 21:00:00,28.71,77.09
71,1,2026-06-03 22:00:00,27.5,61.23
72,1,2026-06-03 23:00:00,26.46,60.78
73,1,2026-06-04 00:00:00,25.67,58.12
74,1,2026-06-04 01:00:00,25.17,57.17
75,1,2026-06-04 02:00:00,25.0,57.71
76,1,2026-06-04 03:00:00,25.17,58.51
77,1,2026-06-04 04:00:00,25.67,59.32
78,1,2026-06-04 05:00:00,26.46,60.05
79,1,2026-06-04 06:00:00,27.5,62.19
80,1,2026-06-04 07:00:00,28.71,62.61
81,1,2026-06-04 08:00:00,30.0,66.05
82,1,2026-06-04 09:00:00,31.29,82.52
83,1,2026-06-04 10:00:00,32.5,84.69
84,1,2026-06-04 11:00:00,33.54,85.09
85,1,2026-06-04 12:00:00,34.33,85.58
86,1,2026-06-04 13:00:00,34.83,83.24
87,1,2026-06-04 14:00:00,35.0,85.69
88,1,2026-06-04 15:00:00,34.83,85.38
89,1,2026-06-04 16:00:00,34.33,86.81
90,1,2026-06-04 17:00:00,33.54,84.31
91,1,2026-06-04 18:00:00,32.5,82.91
92,1,2026-06-04 19:00:00,31.29,80.07
93,1,2026-06-04 20:00:00,30.0,77.94
94,1,2026-06-04 21:00:00,28.71,75.64
95,1,2026-06-04 22:00:00,27.5,63.2
96,1,2026-06-04 23:00:00,26.46,59.03
97,1,2026-06-05 00:00:00,25.67,58.34
98,1,2026-06-05 01:00:00,25.17,58.59
99,1,2026-06-05 02:00:00,25.0,57.76
100,1,2026-06-05 03:00:00,25.17,58.43
101,1,2026-06-05 04:00:00,25.67,59.68
102,1,2026-06-05 05:00:00,26.46,58.94
103,1,2026-06-05 06:00:00,27.5,61.32
104,1,2026-06-05 07:00:00,28.71,64.3
105,1,2026-06-05 08:00:00,30.0,67.29
106,1,2026-06-05 09:00:00,31.29,80.58
107,1,2026-06-05 10:00:00,32.5,82.89
108,1,2026-06-05 11:00:00,33.54,84.78
109,1,2026-06-05 12:00:00,34.33,87.09
110,1,2026-06-05 13:00:00,34.83,83.62
111,1,2026-06-05 14:00:00,35.0,85.96
112,1,2026-06-05 15:00:00,34.83,89.18
113,1,2026-06-05 16:00:00,34.33,84.07
114,1,2026-06-05 17:00:00,33.54,82.23
115,1,2026-06-05 18:00:00,32.5,82.23
116,1,2026-06-05 19:00:00,31.29,81.1
117,1,2026-06-05 20:00:00,30.0,78.31
118,1,2026-06-05 21:00:00,28.71,74.71
119,1,2026-06-05 22:00:00,27.5,62.36
120,1,2026-06-05 23:00:00,26.46,60.53
121,1,2026-06-06 00:00:00,25.67,59.57
122,1,2026-06-06 01:00:00,25.17,58.89
123,1,2026-06-06 02:00:00,25.0,57.31
124,1,2026-06-06 03:00:00,25.17,58.77
125,1,2026-06-06 04:00:00,25.67,60.14
126,1,2026-06-06 05:00:00,26.46,59.93
127,1,2026-06-06 06:00:00,27.5,62.63
128,1,2026-06-06 07:00:00,28.71,63.35
129,1,2026-06-06 08:00:00,30.0,64.53
130,1,2026-06-06 09:00:00,31.29,82.71
131,1,2026-06-06 10:00:00,32.5,84.31
132,1,2026-06-06 11:00:00,33.54,85.98
133,1,2026-06-06 12:00:00,34.33,88.21
134,1,2026-06-06 13:00:00,34.83,87.03
135,1,2026-06-06 14:00:00,35.0,85.67
136,1,2026-06-06 15:00:00,34.83,87.9
137,1,2026-06-06 16:00:00,34.33,87.64
138,1,2026-06-06 17:00:00,33.54,84.05
139,1,2026-06-06 18:00:00,32.5,80.53
140,1,2026-06-06 19:00:00,31.29,80.29
141,1,2026-06-06 20:00:00,30.0,77.13
142,1,2026-06-06 21:00:00,28.71,76.21
143,1,2026-06-06 22:00:00,27.5,62.69
144,1,2026-06-06 23:00:00,26.46,59.36
145,1,2026-06-07 00:00:00,25.67,60.69
146,1,2026-06-07 01:00:00,25.17,58.51
147,1,2026-06-07 02:00:00,25.0,58.11
148,1,2026-06-07 03:00:00,25.17,57.73
149,1,2026-06-07 04:00:00,25.67,58.25
150,1,2026-06-07 05:00:00,26.46,60.02
151,1,2026-06-07 06:00:00,27.5,62.12
152,1,2026-06-07 07:00:00,28.71,64.61
153,1,2026-06-07 08:00:00,30.0,65.79
154,1,2026-06-07 09:00:00,31.29,83.97
155,1,2026-06-07 10:00:00,32.5,82.53
156,1,2026-06-07 11:00:00,33.54,84.74
157,1,2026-06-07 12:00:00,34.33,86.21
158,1,2026-06-07 13:00:00,34.83,88.46
159,1,2026-06-07 14:00:00,35.0,87.77
160,1,2026-06-07 15:00:00,34.83,85.58
161,1,2026-06-07 16:00:00,34.33,86.75
162,1,2026-06-07 17:00:00,33.54,86.36
163,1,2026-06-07 18:00:00,32.5,82.51
164,1,2026-06-07 19:00:00,31.29,80.8
165,1,2026-06-07 20:00:00,30.0,78.85
166,1,2026-06-07 21:00:00,28.71,75.25
167,1,2026-06-07 22:00:00,27.5,61.59
168,1,2026-06-07 23:00:00,26.46,60.35
169,1,2026-06-08 00:00:00,25.67,58.93
170,1,2026-06-08 01:00:00,25.17,57.91
171,1,2026-06-08 02:00:00,25.0,58.02
172,1,2026-06-08 03:00:00,25.17,58.35
173,1,2026-06-08 04:00:00,25.67,58.35
174,1,2026-06-08 05:00:00,26.46,60.82
175,1,2026-06-08 06:00:00,27.5,61.09
176,1,2026-06-08 07:00:00,28.71,63.86
177,1,2026-06-08 08:00:00,30.0,66.88
178,1,2026-06-08 09:00:00,31.29,82.49
179,1,2026-06-08 10:00:00,32.5,83.34
180,1,2026-06-08 11:00:00,33.54,85.71
181,1,2026-06-08 12:00:00,34.33,83.48
182,1,2026-06-08 13:00:00,34.83,86.8
183,1,2026-06-08 14:00:00,35.0,86.34
184,1,2026-06-08 15:00:00,34.83,88.88
185,1,2026-06-08 16:00:00,34.33,86.13
186,1,2026-06-08 17:00:00,33.54,84.87
187,1,2026-06-08 18:00:00,32.5,82.41
188,1,2026-06-08 19:00:00,31.29,79.86
189,1,2026-06-08 20:00:00,30.0,79.54
190,1,2026-06-08 21:00:00,28.71,75.28
191,1,2026-06-08 22:00:00,27.5,60.81
192,1,2026-06-08 23:00:00,26.46,59.52
193,1,2026-06-09 00:00:00,25.67,58.42
194,1,2026-06-09 01:00:00,25.17,56.27
195,1,2026-06-09 02:00:00,25.0,57.33
196,1,2026-06-09 03:00:00,25.17,57.93
197,1,2026-06-09 04:00:00,25.67,58.42
198,1,2026-06-09 05:00:00,26.46,59.89
199,1,2026-06-09 06:00:00,27.5,62.47
200,1,2026-06-09 07:00:00,28.71,63.39
201,1,2026-06-09 08:00:00,30.0,66.09
202,1,2026-06-09 09:00:00,31.29,80.13
203,1,2026-06-09 10:00:00,32.5,81.71
204,1,2026-06-09 11:00:00,33.54,85.87
205,1,2026-06-09 12:00:00,34.33,86.03
206,1,2026-06-09 13:00:00,34.83,88.62
207,1,2026-06-09 14:00:00,35.0,84.33
208,1,2026-06-09 15:00:00,34.83,85.26
209,1,2026-06-09 16:00:00,34.33,85.57
210,1,2026-06-09 17:00:00,33.54,89.24
211,1,2026-06-09 18:00:00,32.5,83.27
212,1,2026-06-09 19:00:00,31.29,80.63
213,1,2026-06-09 20:00:00,30.0,78.74
214,1,2026-06-09 21:00:00,28.71,76.0
215,1,2026-06-09 22:00:00,27.5,61.52
216,1,2026-06-09 23:00:00,26.46,59.24
217,1,2026-06-10 00:00:00,25.67,59.41
218,1,2026-06-10 01:00:00,25.17,58.28
219,1,2026-06-10 02:00:00,25.0,58.28
220,1,2026-06-10 03:00:00,25.17,57.65
221,1,2026-06-10 04:00:00,25.67,57.69
222,1,2026-06-10 05:00:00,26.46,61.35
223,1,2026-06-10 06:00:00,27.5,62.8
224,1,2026-06-10 07:00:00,28.71,62.79
225,1,2026-06-10 08:00:00,30.0,65.56
226,1,2026-06-10 09:00:00,31.29,79.92
227,1,2026-06-10 10:00:00,32.5,83.58
228,1,2026-06-10 11:00:00,33.54,87.45
229,1,2026-06-10 12:00:00,34.33,85.79
230,1,2026-06-10 13:00:00,34.83,85.67
231,1,2026-06-10 14:00:00,35.0,84.17
232,1,2026-06-10 15:00:00,34.83,85.02
233,1,2026-06-10 16:00:00,34.33,86.88
234,1,2026-06-10 17:00:00,33.54,86.1
235,1,2026-06-10 18:00:00,32.5,81.6
236,1,2026-06-10 19:00:00,31.29,80.73
237,1,2026-06-10 20:00:00,30.0,78.28
238,1,2026-06-10 21:00:00,28.71,75.42
239,1,2026-06-10 22:00:00,27.5,61.77
240,1,2026-06-10 23:00:00,26.46,59.58
241,1,2026-06-11 00:00:00,25.67,58.08
242,1,2026-06-11 01:00:00,25.17,58.15
243,1,2026-06-11 02:00:00,25.0,57.74
244,1,2026-06-11 03:00:00,25.17,58.87
245,1,2026-06-11 04:00:00,25.67,58.35
246,1,2026-06-11 05:00:00,26.46,60.05
247,1,2026-06-11 06:00:00,27.5,61.83
248,1,2026-06-11 07:00:00,28.71,62.63
249,1,2026-06-11 08:00:00,30.0,65.59
250,1,2026-06-11 09:00:00,31.29,84.29
251,1,2026-06-11 10:00:00,32.5,84.1
252,1,2026-06-11 11:00:00,33.54,84.06
253,1,2026-06-11 12:00:00,34.33,86.24
254,1,2026-06-11 13:00:00,34.83,84.73
255,1,2026-06-11 14:00:00,35.0,88.35
256,1,2026-06-11 15:00:00,34.83,85.99
257,1,2026-06-11 16:00:00,34.33,85.91
258,1,2026-06-11 17:00:00,33.54,86.64
259,1,2026-06-11 18:00:00,32.5,81.72
260,1,2026-06-11 19:00:00,31.29,80.09
261,1,2026-06-11 20:00:00,30.0,77.78
262,1,2026-06-11 21:00:00,28.71,75.43
263,1,2026-06-11 22:00:00,27.5,61.3
264,1,2026-06-11 23:00:00,26.46,60.31
265,1,2026-06-12 00:00:00,25.67,60.09
266,1,2026-06-12 01:00:00,25.17,59.08
267,1,2026-06-12 02:00:00,25.0,57.42
268,1,2026-06-12 03:00:00,25.17,57.67
269,1,2026-06-12 04:00:00,25.67,58.68
270,1,2026-06-12 05:00:00,26.46,59.71
271,1,2026-06-12 06:00:00,27.5,62.22
272,1,2026-06-12 07:00:00,28.71,64.94
273,1,2026-06-12 08:00:00,30.0,65.96
274,1,2026-06-12 09:00:00,31.29,81.54
275,1,2026-06-12 10:00:00,32.5,82.65
276,1,2026-06-12 11:00:00,33.54,85.14
277,1,2026-06-12 12:00:00,34.33,84.08
278,1,2026-06-12 13:00:00,34.83,87.02
279,1,2026-06-12 14:00:00,35.0,87.13
280,1,2026-06-12 15:00:00,34.83,88.76
281,1,2026-06-12 16:00:00,34.33,87.39
282,1,2026-06-12 17:00:00,33.54,85.44
283,1,2026-06-12 18:00:00,32.5,83.64
284,1,2026-06-12 19:00:00,31.29,79.45
285,1,2026-06-12 20:00:00,30.0,78.33
286,1,2026-06-12 21:00:00,28.71,76.23
287,1,2026-06-12 22:00:00,27.5,61.31
288,1,2026-06-12 23:00:00,26.46,60.39
289,1,2026-06-13 00:00:00,25.67,57.82
290,1,2026-06-13 01:00:00,25.17,57.89
291,1,2026-06-13 02:00:00,25.0,58.1
292,1,2026-06-13 03:00:00,25.17,58.33
293,1,2026-06-13 04:00:00,25.67,57.64
294,1,2026-06-13 05:00:00,26.46,60.27
295,1,2026-06-13 06:00:00,27.5,62.01
296,1,2026-06-13 07:00:00,28.71,64.48
297,1,2026-06-13 08:00:00,30.0,65.93
298,1,2026-06-13 09:00:00,31.29,82.48
299,1,2026-06-13 10:00:00,32.5,85.06
300,1,2026-06-13 11:00:00,33.54,84.35
301,1,2026-06-13 12:00:00,34.33,85.03
302,1,2026-06-13 13:00:00,34.83,85.46
303,1,2026-06-13 14:00:00,35.0,88.65
304,1,2026-06-13 15:00:00,34.83,87.64
305,1,2026-06-13 16:00:00,34.33,86.79
306,1,2026-06-13 17:00:00,33.54,82.9
307,1,2026-06-13 18:00:00,32.5,83.58
308,1,2026-06-13 19:00:00,31.29,80.61
309,1,2026-06-13 20:00:00,30.0,77.82
310,1,2026-06-13 21:00:00,28.71,75.76
311,1,2026-06-13 22:00:00,27.5,62.06
312,1,2026-06-13 23:00:00,26.46,59.64
313,1,2026-06-14 00:00:00,25.67,57.91
314,1,2026-06-14 01:00:00,25.17,57.14
315,1,2026-06-14 02:00:00,25.0,57.92
316,1,2026-06-14 03:00:00,25.17,58.21
317,1,2026-06-14 04:00:00,25.67,58.37
318,1,2026-06-14 05:00:00,26.46,60.31
319,1,2026-06-14 06:00:00,27.5,62.51
320,1,2026-06-14 07:00:00,28.71,65.62
321,1,2026-06-14 08:00:00,30.0,65.3
322,1,2026-06-14 09:00:00,31.29,81.99
323,1,2026-06-14 10:00:00,32.5,82.54
324,1,2026-06-14 11:00:00,33.54,85.75
325,1,2026-06-14 12:00:00,34.33,85.9
326,1,2026-06-14 13:00:00,34.83,86.93
327,1,2026-06-14 14:00:00,35.0,87.25
328,1,2026-06-14 15:00:00,34.83,86.36
329,1,2026-06-14 16:00:00,34.33,84.47
330,1,2026-06-14 17:00:00,33.54,85.63
331,1,2026-06-14 18:00:00,32.5,82.22
332,1,2026-06-14 19:00:00,31.29,79.88
333,1,2026-06-14 20:00:00,30.0,78.17
334,1,2026-06-14 21:00:00,28.71,76.59
335,1,2026-06-14 22:00:00,27.5,61.74
336,1,2026-06-14 23:00:00,26.46,60.01
337,1,2026-06-15 00:00:00,25.67,59.1
338,1,2026-06-15 01:00:00,25.17,57.87
339,1,2026-06-15 02:00:00,25.0,57.79
340,1,2026-06-15 03:00:00,25.17,59.57
341,1,2026-06-15 04:00:00,25.67,59.61
342,1,2026-06-15 05:00:00,26.46,59.86
343,1,2026-06-15 06:00:00,27.5,61.6
344,1,2026-06-15 07:00:00,28.71,64.63
345,1,2026-06-15 08:00:00,30.0,66.04
346,1,2026-06-15 09:00:00,31.29,84.75
347,1,2026-06-15 10:00:00,32.5,85.14
348,1,2026-06-15 11:00:00,33.54,82.72
349,1,2026-06-15 12:00:00,34.33,85.52
350,1,2026-06-15 13:00:00,34.83,86.74
351,1,2026-06-15 14:00:00,35.0,86.81
352,1,2026-06-15 15:00:00,34.83,88.2
353,1,2026-06-15 16:00:00,34.33,85.11
354,1,2026-06-15 17:00:00,33.54,84.8
355,1,2026-06-15 18:00:00,32.5,82.65
356,1,2026-06-15 19:00:00,31.29,81.98
357,1,2026-06-15 20:00:00,30.0,79.77
358,1,2026-06-15 21:00:00,28.71,75.33
359,1,2026-06-15 22:00:00,27.5,61.51
360,1,2026-06-15 23:00:00,26.46,60.98
361,1,2026-06-16 00:00:00,25.67,59.93
362,1,2026-06-16 01:00:00,25.17,59.29
363,1,2026-06-16 02:00:00,25.0,58.42
364,1,2026-06-16 03:00:00,25.17,57.91
365,1,2026-06-16 04:00:00,25.67,58.89
