meter_id,building_id,utility_type,is_broken
1,1,electricity,0
2,2,electricity,0
3,3,electricity,0
4,4,electricity,0
5,5,electricity,0
6,6,electricity,0
7,7,electricity,0
8,8,electricity,0
9,9,electricity,0
10,10,electricity,0
11,11,electricity,0
12,12,electricity,0
13,13,electricity,0
14,14,electricity,0
15,15,electricity,0
16,16,electricity,0
17,17,electricity,0
18,18,electricity,0
19,19,electricity,0
20,20,electricity,0
21,21,electricity,0
22,22,electricity,0
23,23,electricity,0
24,24,electricity,0
25,25,electricity,0
26,26,electricity,0
27,27,electricity,0
28,28,electricity,0
29,29,electricity,0
30,30,electricity,0
31,31,electricity,0
32,32,electricity,0
33,33,electricity,0
34,34,electricity,0
35,35,electricity,0
36,36,electricity,0
37,37,electricity,0
38,38,electricity,0
39,39,electricity,0
40,40,electricity,0
41,41,electricity,1
42,42,electricity,0
43,43,electricity,0
44,44,electricity,0
45,45,electricity,0
46,46,electricity,0
47,47,electricity,0
48,48,electricity,0
49,49,electricity,0
50,50,electricity,0
51,51,electricity,0
52,52,electricity,0
53,53,electricity,0
54,54,electricity,0
55,55,electricity,0
56,56,electricity,1
57,57,electricity,0
58,58,electricity,0
59,59,electricity,0
60,60,electricity,0
61,61,electricity,0
62,62,electricity,1
63,63,electricity,1
64,64,electricity,0
65,65,electricity,0
66,66,electricity,0
67,67,electricity,0
68,68,electricity,0
69,69,electricity,0
70,70,electricity,0
71,71,electricity,0
72,72,electricity,0
73,73,electricity,0
74,74,electricity,0
75,75,electricity,0
76,76,electricity,1
77,77,electricity,0
78,78,electricity,0
79,79,electricity,0
80,80,electricity,0
81,81,electricity,0
82,82,electricity,0
83,83,electricity,0
84,84,electricity,0
85,85,electricity,0
86,86,electricity,0
87,87,electricity,0
88,88,electricity,0
89,89,electricity,0
90,90,electricity,0
91,91,electricity,0
92,92,electricity,0
93,93,electricity,0
94,94,electricity,0
95,95,electricity,0
96,96,electricity,0
97,97,electricity,0
98,98,electricity,0
99,99,electricity,0
100,100,electricity,0
